VideoGameGenres_07_nouns.csv
Unique nouns: 207, Total nouns: 340
Total time: Uncomputed,Cost per noun: Uncomputed
type,"['What are the basic types of player?', 'The first four ""basic players"" are named after the DGD1 types; the remaining five express areas I feel that first model overlooked.']",2
player,"['What are the basic types of player?', '\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:', 'No study has ever been conducted on player attitudes to these patterns, and I believe it could be useful.', 'The first four ""basic players"" are named after the DGD1 types; the remaining five express areas I feel that first model overlooked.', 'Challenge is the draw for this player â€“ when the complaint ""it was too easy"" is heard, it is heard from a Conqueror.', 'Fiero, the emotion of ""triumph over adversity"" requires that the player be put through the ringer, pushed to their limits, and as a result anger and (possibly) fear are likely to be related emotions.', 'It is likely that Conquerors are younger on average than other players.', 'The strategic-minded manager is a complexity-seeking player.', 'Games with many rules, including both strategy games, and certain cRPGs, are the mainstay of such a player, although adventure games will also be enjoyed by many.']",10
what,"['What are the basic types of player?', 'What would this teach us about games and game design?']",2
the basic types,['What are the basic types of player?'],1
inventory,['Can we uncover a comprehensive inventory of play styles?'],1
play,"['Can we uncover a comprehensive inventory of play styles?', ""\n\nCaillois' patterns of play, Agon , Alea , Mimicry and Ilinx , plus Ludus and Paidia ."", 'I expect to broadly validate the Four Keys model, strengthen the implied connection between Anger and Fiero, and demonstrate further connections previously unexplored such as Amusement outside of People Fun and Contentment as a key play emotion previously overlooked because of the method used for Four Keys.']",4
style,['Can we uncover a comprehensive inventory of play styles?'],1
we,"['Can we uncover a comprehensive inventory of play styles?', ""(We didn't learn much from least favourite games, and I'm disinclined to bother with it this time)."", 'As before, we will follow up with case studies.']",3
a comprehensive inventory,['Can we uncover a comprehensive inventory of play styles?'],1
play styles,['Can we uncover a comprehensive inventory of play styles?'],1
game,"['What would this teach us about games and game design?', 'Additionally, as before, data on favourite games would be collected.', ""(We didn't learn much from least favourite games, and I'm disinclined to bother with it this time)."", 'Games with many rules, including both strategy games, and certain cRPGs, are the mainstay of such a player, although adventure games will also be enjoyed by many.', 'They can rack up serious hours on the games they really love.']",8
design,['What would this teach us about games and game design?'],1
us,['What would this teach us about games and game design?'],1
games,"['What would this teach us about games and game design?', 'Games with many rules, including both strategy games, and certain cRPGs, are the mainstay of such a player, although adventure games will also be enjoyed by many.']",2
game design,['What would this teach us about games and game design?'],1
â,"['\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:', 'Not just the ones Nicole Lazzaro reports in her Four Keys Model (which of course I adore), but all the emotions that might apply: Sadness/Agony, Anger, Surprise/Fear,Â\xa0Disgust/Contempt, Amusement, Contentment, Excitement/Relief, Wonder,Â\xa0Bliss, Fiero, Naches, Elevation, Gratitude, Schadenfreude, Guilt/Shame, Embarrassment, and Envy.', 'Â\xa0\n\nThe method will, alas, be survey based, relying on self-reporting.', 'Â\xa0\n\nThe (Hypothetical) 9 Basic Players\n\nConqueror\n\n""I\'ll beat any challenge""\n\nPlay: Hard Agon\n\nEmotions:', '\n\nÂ\xa0\n\n""I have to know how it works""\n\nPlay: Complex Ludus, Agon', 'Skills: Strategic\n\nÂ', 'Â']",10
description,['\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:'],1
pattern,"['\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:', ""\n\nCaillois' patterns of play, Agon , Alea , Mimicry and Ilinx , plus Ludus and Paidia ."", 'No study has ever been conducted on player attitudes to these patterns, and I believe it could be useful.', ""\n\nNow, let's look at the hypothetical patterns.""]",4
gaming,['\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:'],1
audience,['\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:'],1
term,['\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:'],1
area,"['\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:', 'The first four ""basic players"" are named after the DGD1 types; the remaining five express areas I feel that first model overlooked.']",2
you,['\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:'],1
descriptions,['\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:'],1
nine hypothetical player patterns,['\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:'],1
i,"['\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:', 'No study has ever been conducted on player attitudes to these patterns, and I believe it could be useful.', 'Not just the ones Nicole Lazzaro reports in her Four Keys Model (which of course I adore), but all the emotions that might apply: Sadness/Agony, Anger, Surprise/Fear,Â\xa0Disgust/Contempt, Amusement, Contentment, Excitement/Relief, Wonder,Â\xa0Bliss, Fiero, Naches, Elevation, Gratitude, Schadenfreude, Guilt/Shame, Embarrassment, and Envy.', 'I expect to broadly validate the Four Keys model, strengthen the implied connection between Anger and Fiero, and demonstrate further connections previously unexplored such as Amusement outside of People Fun and Contentment as a key play emotion previously overlooked because of the method used for Four Keys.', ""(We didn't learn much from least favourite games, and I'm disinclined to bother with it this time)."", 'As such, it will be prone to errors, but I believe it may still be worthwhile.', 'The first four ""basic players"" are named after the DGD1 types; the remaining five express areas I feel that first model overlooked.', 'Â\xa0\n\nThe (Hypothetical) 9 Basic Players\n\nConqueror\n\n""I\'ll beat any challenge""\n\nPlay: Hard Agon\n\nEmotions:', '\n\nÂ\xa0\n\n""I have to know how it works""\n\nPlay: Complex Ludus, Agon']",9
the gaming audience,['\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:'],1
terms,['\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:'],1
the following three areas,['\n\nÂ\xa0\n\nBelow you will find descriptions of nine hypothetical player patterns that I would expect to find by examining the gaming audience in terms of the following three areas:'],1
caillois,"[""\n\nCaillois' patterns of play, Agon , Alea , Mimicry and Ilinx , plus Ludus and Paidia .""]",1
agon,"[""\n\nCaillois' patterns of play, Agon , Alea , Mimicry and Ilinx , plus Ludus and Paidia ."", 'Â\xa0\n\nThe (Hypothetical) 9 Basic Players\n\nConqueror\n\n""I\'ll beat any challenge""\n\nPlay: Hard Agon\n\nEmotions:', '\n\nÂ\xa0\n\n""I have to know how it works""\n\nPlay: Complex Ludus, Agon']",4
alea,"[""\n\nCaillois' patterns of play, Agon , Alea , Mimicry and Ilinx , plus Ludus and Paidia .""]",1
mimicry,"[""\n\nCaillois' patterns of play, Agon , Alea , Mimicry and Ilinx , plus Ludus and Paidia .""]",1
ilinx,"[""\n\nCaillois' patterns of play, Agon , Alea , Mimicry and Ilinx , plus Ludus and Paidia .""]",1
ludus,"[""\n\nCaillois' patterns of play, Agon , Alea , Mimicry and Ilinx , plus Ludus and Paidia ."", '\n\nÂ\xa0\n\n""I have to know how it works""\n\nPlay: Complex Ludus, Agon']",2
paidia,"[""\n\nCaillois' patterns of play, Agon , Alea , Mimicry and Ilinx , plus Ludus and Paidia .""]",1
caillois' patterns,"[""\n\nCaillois' patterns of play, Agon , Alea , Mimicry and Ilinx , plus Ludus and Paidia .""]",1
study,"['No study has ever been conducted on player attitudes to these patterns, and I believe it could be useful.', 'As before, we will follow up with case studies.']",2
attitude,"['No study has ever been conducted on player attitudes to these patterns, and I believe it could be useful.']",1
no study,"['No study has ever been conducted on player attitudes to these patterns, and I believe it could be useful.']",1
player attitudes,"['No study has ever been conducted on player attitudes to these patterns, and I believe it could be useful.']",1
these patterns,"['No study has ever been conducted on player attitudes to these patterns, and I believe it could be useful.']",1
