Genres_04_nouns.csv
Unique nouns: 498, Total nouns: 1271
Total time: Uncomputed,Cost per noun: Uncomputed
sport,"['Sports[ edit ]\n\nSports are video games that simulate sports .', 'Sports game[ edit ]\n\nSports games emulate the playing of traditional physical sports .', 'Some emphasize actually playing the sport, while others emphasize the strategy behind the sport (such as Championship Manager ).', 'Others satirize the sport for comic effect (such as Arch Rivals ).', 'Other games, like NBA Jam , satirize the genre, while others like the Madden NFL (series) and NBA 2K (series) are looking forward to recreate the realism and capture the feeling of playing a live sport.', 'Competitive[ edit ]\n\nCompetitive games are those that have a high competitive factor but do not represent traditional sports, such as games in which the concept is fictional and designed by the developer (e.g. Ball Jacks and Rocket League ).', '\n\nSports-based fighting[ edit ]\n\nSports-based fighting games are titles that fall firmly within the definitions of both the Fighting game and Sports game genre, such as boxing and wrestling video games.']",11
edit,"['Sports[ edit ]\n\nSports are video games that simulate sports .', 'Racing[ edit ]\n\nThere are different types of racing games that the player competes against time or opponents using some means of transportation.', 'Sports game[ edit ]\n\nSports games emulate the playing of traditional physical sports .', 'Competitive[ edit ]\n\nCompetitive games are those that have a high competitive factor but do not represent traditional sports, such as games in which the concept is fictional and designed by the developer (e.g. Ball Jacks and Rocket League ).', '\n\nSports-based fighting[ edit ]\n\nSports-based fighting games are titles that fall firmly within the definitions of both the Fighting game and Sports game genre, such as boxing and wrestling video games.', '\n\nOther notable genres[ edit ]\n\nBoard game or card game[ edit ]', 'Breakout clone game[ edit ]\n\nBreakout clone (also known as block-breaking or ball-and-paddle) is a sub-class of the bat-and-ball genre.', '\n\nCasino game[ edit ]\n\nThere are three general categories of casino games: gaming machines, table games, and random number games.', '\n\nCasual games[ edit ]\n\nCasual games are designed to be easily picked up and put down again, allowing for potentially short bursts of play, such as Call of Duty and most games on a mobile platform.', ""\n\nDigital collectible card game[ edit ]\n\nMain article: Digital collectible card game\n\nA digital collectible card game (DCCG) is a computer or video game usually played online that emulates collectible card games (CCG), or in many cases, doesn't use card-like images at all, but instead icons , avatars or other symbols to represent game pieces."", '[64]\n\nLogic game[ edit ]\n\nLogic games require the player to solve logic puzzles or navigate complex locations such as mazes .', '[ edit ]\n\nParty games are video games developed specifically for multiplayer games between many players.', '[ edit ]\n\nA photography game tasks players with taking photos using the in-game camera system , typically awarding more points for better composed images.', 'Programming game[ edit ]\n\nA programming game is a computer game where the player has no direct influence on the course of the game.', '\n\nSocial deduction game[ edit ]', '[ edit ]\n\nTrivia games are growing in popularity, especially on mobile phones where people may only have a few minutes to play the game.', 'Typing game[ edit ]\n\nA typing game is any game that uses typing as the main method of interaction.', '\n\nVideo game genres by purpose[ edit ]\n\nWhile most video games are designed as entertainment, many video games are designed with additional purposes.', '\n\nSandbox / open world games[ edit ]', '\n\nSandbox[ edit ]', '[ edit ]\n\nIn video games, an open world is a game mechanic of using a virtual world that the player can explore and approach objectives freely, as opposed to a world with more linear and structured gameplay.', '\n\nScientific studies[ edit ]']",23
video,"['Sports[ edit ]\n\nSports are video games that simulate sports .', 'This genre emerged early in the history of video games (e.g., Pong ) and remains popular today.', '\n\nSports-based fighting[ edit ]\n\nSports-based fighting games are titles that fall firmly within the definitions of both the Fighting game and Sports game genre, such as boxing and wrestling video games.', 'A massively multiplayer online game (also called MMO and MMOG) is a multiplayer online video game which is capable of supporting large numbers of players simultaneously.', 'These games can be found for most network-capable platforms, including the personal computer , video game console , or smartphones and other mobile devices.', 'They include a variety of gameplay types, representing many video game genres, such as MMORPG , MMOFPS , MMORTS , MMOTBS and MMO simulation games.', ""\n\nDigital collectible card game[ edit ]\n\nMain article: Digital collectible card game\n\nA digital collectible card game (DCCG) is a computer or video game usually played online that emulates collectible card games (CCG), or in many cases, doesn't use card-like images at all, but instead icons , avatars or other symbols to represent game pieces."", ""Originally, DCCGs started out as replications of a CCG's physical counterpart such as Magic: The Gathering , but many DCCGs have foregone a physical version and exclusively release as a video game, such as with Hearthstone ."", 'Main article: Gacha game\n\nGacha games are video games that implement the gacha (toy vending machine) mechanic.', 'It is the only major video game genre that is recognized by narrative elements rather than by gameplay, gameplay mode, or platform.', '[ edit ]\n\nParty games are video games developed specifically for multiplayer games between many players.', 'A notable example of the social deduction video game is Among Us , which received a massive influx of popularity in 2020 due to many well-known Twitch streamers and YouTubers playing it.', '\n\nVideo game genres by purpose[ edit ]\n\nWhile most video games are designed as entertainment, many video games are designed with additional purposes.', 'Advergame\n\nAdvergames, in the context of video game genres, refers to promotional software specifically made to advertise a product, organization or viewpoint.', 'The purpose of the casual game is to entertain, but with a much lower commitment than other video games.', '\n\nMain article: Christian video games\n\nChristian games attempt to provide the dual purposes of spreading the Christian religion to non-believers through the medium of video games, and providing gamers who identify as Christian with a common pool of games.', 'Christian video games were first developed by Wisdom Tree for the NES , without license.', '\n\nMain article: Exergaming\n\nAn exergame ( portmanteau of "" exercise "" and "" game "") is a video game that provides exercise. ""', '\n\nMain article: Personalized video game\n\nPersonalized games are created for one specific player or a group of players usually as a gift.', '\n\nMain articles: Sandbox game and Open world\n\nSandbox and open-world games are not specifically video game genres, as they generally describe gameplay features, but often games will be described as a sandbox or an open-world game as if it were a defining genre.', '\n\nA sandbox game is a video game with a gameplay element that gives the player a great degree of creativity to complete tasks towards a goal within the game, if such a goal exists.', '[ edit ]\n\nIn video games, an open world is a game mechanic of using a virtual world that the player can explore and approach objectives freely, as opposed to a world with more linear and structured gameplay.', 'As video games are increasingly the subject of scientific studies, game genres are themselves becoming a subject of study.', '\n\nStatistical scaling techniques were used in a study presented at the 2007 Siggraph Video Game Symposium to convert subject ratings of game similarity into visual maps of game genres.']",27
game,"['Sports[ edit ]\n\nSports are video games that simulate sports .', 'Racing[ edit ]\n\nThere are different types of racing games that the player competes against time or opponents using some means of transportation.', 'Other racing simulator series like Forza are one of the most popular game in this category, but arcade classics like Pole Position are included here too.', 'Sports game[ edit ]\n\nSports games emulate the playing of traditional physical sports .', 'This genre emerged early in the history of video games (e.g., Pong ) and remains popular today.', 'Other games, like NBA Jam , satirize the genre, while others like the Madden NFL (series) and NBA 2K (series) are looking forward to recreate the realism and capture the feeling of playing a live sport.', 'Competitive[ edit ]\n\nCompetitive games are those that have a high competitive factor but do not represent traditional sports, such as games in which the concept is fictional and designed by the developer (e.g. Ball Jacks and Rocket League ).', '\n\nSports-based fighting[ edit ]\n\nSports-based fighting games are titles that fall firmly within the definitions of both the Fighting game and Sports game genre, such as boxing and wrestling video games.', 'Often the fighting is far more realistic than in traditional fighting games (though the amount of realism can greatly vary), and many feature real-world franchises or fighters.', '\n\nMain article: Massively multiplayer online game', 'A massively multiplayer online game (also called MMO and MMOG) is a multiplayer online video game which is capable of supporting large numbers of players simultaneously.', 'Many games have at least one persistent world , however others just have large numbers of players competing at once in one form or another without any lasting effect to the world at all.', 'These games can be found for most network-capable platforms, including the personal computer , video game console , or smartphones and other mobile devices.', 'An example is the widely played game Minecraft which can be played both as an MMO or a single player game.', '\n\nMMO games can enable players to cooperate and compete with each other on a large scale, and sometimes to interact meaningfully with people around the world.', 'They include a variety of gameplay types, representing many video game genres, such as MMORPG , MMOFPS , MMORTS , MMOTBS and MMO simulation games.', '\n\nOther notable genres[ edit ]\n\nBoard game or card game[ edit ]', '\n\nMany popular board games and card games have computer versions.', ""AI opponents can help improver one's skill at traditional games."", 'Mahjong and related games are immensely popular in China and Japan .', 'Breakout clone game[ edit ]\n\nBreakout clone (also known as block-breaking or ball-and-paddle) is a sub-class of the bat-and-ball genre.', 'The genre is named for the dynamics of the player-controlled block, called a bat or paddle, upon which the game is based on that hits a ball towards different objects such as colored tiles, powerup tiles, and indestructible tiles (called a ""brick"").', 'The term brick buster was coined in the early 2000s, mostly refers to more modern games and early example is Arkanoid developed by Taito in 1986.', '\n\nCasino game[ edit ]\n\nThere are three general categories of casino games: gaming machines, table games, and random number games.', 'Tables games, such as blackjack or craps , involve one or more players who are competing against the house (the casino itself) rather than each other.', 'Random number games may be played at a table or through the purchase of paper tickets or cards, such as keno or bingo .', '\n\nCasual games[ edit ]\n\nCasual games are designed to be easily picked up and put down again, allowing for potentially short bursts of play, such as Call of Duty and most games on a mobile platform.', 'For this reason the games often have auto-saving and syncing as standard so the games can be minimised, put into sleep or otherwise put down with no loss to the player.', 'Designers of these games should add a lot of ""juice"" (sound and motion elements that excite the senses) to make them stand out in a sea of highly similar games.', 'Due to the aforementioned requirements, many of these games are quite simple to pick up and play without lengthy tutorials.', ""\n\nDigital collectible card game[ edit ]\n\nMain article: Digital collectible card game\n\nA digital collectible card game (DCCG) is a computer or video game usually played online that emulates collectible card games (CCG), or in many cases, doesn't use card-like images at all, but instead icons , avatars or other symbols to represent game pieces."", ""Originally, DCCGs started out as replications of a CCG's physical counterpart such as Magic: The Gathering , but many DCCGs have foregone a physical version and exclusively release as a video game, such as with Hearthstone ."", 'Main article: Gacha game\n\nGacha games are video games that implement the gacha (toy vending machine) mechanic.', 'Similar to loot boxes , gacha games induce players to spend in-game currency to receive a random virtual item.', 'Most of these games are free-to-play mobile games , where the gacha serves as an incentive to spend real-world money.', '[60] [61]\n\nMain article: Horror game\n\nHorror games are games that incorporate elements of horror fiction into their narrative, generally irrespective of the type of gameplay.', 'It is the only major video game genre that is recognized by narrative elements rather than by gameplay, gameplay mode, or platform.', 'Survival horror is a subgenre of horror games focused on action-adventure style of gameplay.', '[62]\n\nMain article: Incremental game\n\nIn an IGN article, Cookie Clicker is credited as one of the few games to have played a major role in the establishment of the genre of idle gaming.', '[63]\n\nThis genre involves games that orient the player with a trivial task, such as clicking a cookie; and as the game progresses, the player is gradually rewarded certain upgrades for completing said task.', 'In all, these games require very little involvement from the player, and in most cases they play themselves; hence the use of the word "" idle "".', 'In early 2014, Orteil released an early version of Idle Game Maker, a tool allowing customized idle games to be made without coding knowledge.', '[64]\n\nLogic game[ edit ]\n\nLogic games require the player to solve logic puzzles or navigate complex locations such as mazes .', 'They are well suited to casual play , and tile-matching puzzle games are among the most popular casual games.', 'This genre frequently crosses over with adventure and educational games.', 'Tetris , labeled a puzzle game, is credited for revolutionizing gaming and popularizing the puzzle genre.', '\n\nParty game', '[ edit ]\n\nParty games are video games developed specifically for multiplayer games between many players.', 'Normally, party games have a variety of mini-games that range between collecting more of a certain item than other players or having the fastest time at something.', 'Such games include the Mario Party series, Crash Bash , and Rayman Raving Rabbids .', 'Versus multiplayer games are not generally considered to be party games.', '\n\nPhotography game', '[ edit ]\n\nA photography game tasks players with taking photos using the in-game camera system , typically awarding more points for better composed images.', 'Photography mechanics are often implemented as sidequests in games in other genres, but there are also games where photography is the main gameplay mode.', 'Programming game[ edit ]\n\nA programming game is a computer game where the player has no direct influence on the course of the game.', 'Final Fantasy XII also includes some elements of a programming game, as the player creates the AI of his characters, although the player can also choose to directly control the action.', '\n\nSocial deduction game[ edit ]', ""\n\nA social deduction game is a game in which players attempt to uncover each other's hidden role or team allegiance."", 'A notable example of the social deduction video game is Among Us , which received a massive influx of popularity in 2020 due to many well-known Twitch streamers and YouTubers playing it.', '\n\nTrivia game', '[ edit ]\n\nTrivia games are growing in popularity, especially on mobile phones where people may only have a few minutes to play the game.', 'In trivia games, the object is to answer questions with the goal of obtaining points.', 'They may be based on real-life trivia game shows such as Are You Smarter than a 5th Grader? or Family Feud .', 'Typing game[ edit ]\n\nA typing game is any game that uses typing as the main method of interaction.', 'While they initially started as a type of educational game, they later became more entertainment focused as indie developers explored possibilities within the genre.', '\n\nVideo game genres by purpose[ edit ]\n\nWhile most video games are designed as entertainment, many video games are designed with additional purposes.', 'These games can have any kind of gameplay, from puzzles to action to adventure.', 'Advergame\n\nAdvergames, in the context of video game genres, refers to promotional software specifically made to advertise a product, organization or viewpoint.', 'The majority of advergames are found online and mostly include simple and cheaply made Flash games.', 'Main article: Art game\n\nArt games are designed so as to emphasize art or whose structures are intended to produce some kind of non- ludological reaction in its audience.', 'Art games typically go out of their way to have a unique, unconventional look, often standing out for aesthetic beauty or complexity in design.', 'This concept extends to the realm of modified (""modded"") gaming when modifications have been made to existing non-art-games to produce graphic results intended to be viewed as an artistic display, as opposed to modifications intended to change game play scenarios or for storytelling.', 'Modified games created for artistic purposes are sometimes referred to as "" videogame art .""', '\n\nMain article: Casual game\n\nCasual games have very simple rules or play techniques and a very low degree of strategy.', '[68] Casual games typically are played on a personal computer online in web browsers, although they now are starting to become popular on game consoles.', 'The purpose of the casual game is to entertain, but with a much lower commitment than other video games.', '\n\nMain article: Christian video games\n\nChristian games attempt to provide the dual purposes of spreading the Christian religion to non-believers through the medium of video games, and providing gamers who identify as Christian with a common pool of games.', 'Christian video games were first developed by Wisdom Tree for the NES , without license.', 'While largely regarded as derivative titles by the mainstream gaming culture,[ citation needed ] Christian games have nevertheless expanded in distribution since their inception.', '\n\nMain article: Educational game\n\nEducational games, as the name implies, attempt to teach the user using the game as a vehicle.', 'Most of these types of games target young users from the ages of about three years to mid- teens ;[ citation needed ] past the mid-teens, subjects become so complex (e.g. Calculus ) that teaching via a game is impractical.', '\n\nMain article: Esports\n\nEsports games are multiplayer games that are usually played competitively at the professional level.', 'These games are often targeted at the ""hardcore"" gaming audience, and are usually first-person shooter games, requiring twitch-based reaction speed and coordination, or real-time strategy games, requiring high levels of strategic macro- and micromanagement, or MOBAs , requiring both.', '\n\nMain article: Exergaming\n\nAn exergame ( portmanteau of "" exercise "" and "" game "") is a video game that provides exercise. ""', 'Exergames"" sub-divide into two main implementations, those with a game specifically designed to use an exercise input device (for example, the game Wii Fit using the Wii Balance Board ) and those implementations using a genre of a game.', 'Games fit into the category of entertainment, and similarly ""exergames"" are a category of ""exertainment"" (formed from "" exercise "" and "" entertainment "").', '\n\nMain article: Personalized video game\n\nPersonalized games are created for one specific player or a group of players usually as a gift.', 'Usual occasions for such games are birthdays, anniversaries, and engagement proposals.', '\n\nMain article: Serious game', 'Serious games are intended to educate or train the player.', 'These games tend to promote ""education, science, social change, health care or even the military.""', '[69] Some of these games have no specific ending or goal in the game.', 'Rather, the player learns a real life lesson from the game.', 'For example, games from websites such as Newsgaming.com and gamesforchange.org raise political issues using the distinct properties of games.', '\n\nSandbox / open world games[ edit ]', '\n\nMain articles: Sandbox game and Open world\n\nSandbox and open-world games are not specifically video game genres, as they generally describe gameplay features, but often games will be described as a sandbox or an open-world game as if it were a defining genre.', '\n\nA sandbox game is a video game with a gameplay element that gives the player a great degree of creativity to complete tasks towards a goal within the game, if such a goal exists.', 'Some games exist as pure sandbox games with no objectives; these are also known as non-games or software toys .', 'More commonly, sandbox games results from these creative elements being incorporated into other genres and allowing for emergent gameplay .', ""Sandbox games are often associated with open world concepts which gives the player freedom of movement and progression in the game's world."", '\n\nEarly sandbox games came out of space trading and combat games like Elite (1984) and city-building simulations and tycoon games like SimCity (1989).', 'The releases of The Sims and Grand Theft Auto III in 2000 and 2001, respectively, demonstrated that games with highly detailed interacting systems that encouraged player experimentation could also be seen as sandbox games.', 'Sandbox games also found ground with the ability to interact socially and share user-generated content across the Internet like Second Life (2003).', 'Minecraft (2011) is one of the most successful examples of a sandbox game, with players able to enjoy in both creative modes and through more goal-driven survival modes.', '\n\nMain article: Sandbox mode\n\nCreative games are games that are often grounded into other genres but have certain modes of gameplay that allow for a Sandbox and/or Openworld Gameplay, It is extremely common for a ""Creative"" Game mode to use the same aspects, assets, mechanics, etc. of the Parent Game.', ""However, this isn't always the case as some games have used assets unavailable in the normal Game."", 'However, while generally rare, creative modes have been seen to have an independent story from the main game or even be an entirely independent game.', '[ edit ]\n\nIn video games, an open world is a game mechanic of using a virtual world that the player can explore and approach objectives freely, as opposed to a world with more linear and structured gameplay.', 'While games have used open-world designs since the 1980s, the implementation in Grand Theft Auto III (2001) set a standard that has been used since.', 'Games with open or free-roaming worlds typically lack level structures like walls and locked doors, or the invisible walls in more open areas that prevent the player from venturing beyond them; only at the bounds of an open-world game will players be limited by geographic features like vast oceans or impassible mountains.', 'Players typically do not encounter loading screens common in linear level designs when moving about the game world, with the open-world game using strategic storage and memory techniques to load the game world in a dynamic and seamless manner.', ""Open-world games still enforce many restrictions in the game environment, either because of absolute technical limitations or in-game limitations imposed by a game's linearity."", '\n\nWhile the openness of the game world is an important facet to games featuring open worlds, the main draw of open-world games is about providing the player with autonomy - not so much the freedom to do anything they want in the game (which is nearly impossible with current computing technology), but the ability to choose how to approach the game and its challenges in the order and manner as the player desires while still constrained by gameplay rules.', 'Examples of high level of autonomy in computer games can be found in massively multiplayer online role-playing games (MMORPG) or in single-player games adhering to the open-world concept such as the Fallout series.', 'In these cases, there is often no concrete goal or end to the game, although there may be the main storyline, such as with games like The Elder Scrolls V: Skyrim .', 'As video games are increasingly the subject of scientific studies, game genres are themselves becoming a subject of study.', ""\n\nAn early attempt at analysis of the action and adventure genres appeared in a Game Developers Conference 2000 paper 'Mostly Armless: Grabbing the 3D World'."", 'This critiqued a variety of adventure and action games to categorize gameplay and interaction for adventure, action, and hybrid genres.', ""It provided a graph of the genres along the axes of 'immediacy' vs 'complexity', with an 'ideal-zone' for gameplay that covered and linked adventure and action games."", '[70]\n\nIn a University of Queensland study, game enjoyment was correlated with attributes such as immersion, social interaction, and the nature of the goals.', '[71] These may be underlying factors in differentiating game genres.', '\n\nStatistical scaling techniques were used in a study presented at the 2007 Siggraph Video Game Symposium to convert subject ratings of game similarity into visual maps of game genres.', 'The maps reproduced some of the commonly identified genres such as first-person shooters and god games.']",226
team(s,['The opposing team(s) can be controlled by other real life people or artificial intelligence.'],1
life,"['The opposing team(s) can be controlled by other real life people or artificial intelligence.', 'They may be based on real-life trivia game shows such as Are You Smarter than a 5th Grader? or Family Feud .', ""They are hand-made to feature real names, places and events from the recipient's life."", 'Rather, the player learns a real life lesson from the game.', 'Sandbox games also found ground with the ability to interact socially and share user-generated content across the Internet like Second Life (2003).', 'For example, Second Life uses some of the gameplay investment and interface elements described in section 4 of the paper.']",6
people,"['The opposing team(s) can be controlled by other real life people or artificial intelligence.', '\n\nMMO games can enable players to cooperate and compete with each other on a large scale, and sometimes to interact meaningfully with people around the world.', 'Market leaders in this genre are often boldly coloured, designed for intuitive interaction and have a high balance of reward to time to keep people coming back.', '[ edit ]\n\nTrivia games are growing in popularity, especially on mobile phones where people may only have a few minutes to play the game.']",4
intelligence,['The opposing team(s) can be controlled by other real life people or artificial intelligence.'],1
racing,"['Racing[ edit ]\n\nThere are different types of racing games that the player competes against time or opponents using some means of transportation.', 'Sub-genres include racing simulators ( Gran Turismo ) and kart racing ( Mario Kart ).']",3
type,"['Racing[ edit ]\n\nThere are different types of racing games that the player competes against time or opponents using some means of transportation.', 'They include a variety of gameplay types, representing many video game genres, such as MMORPG , MMOFPS , MMORTS , MMOTBS and MMO simulation games.', '[60] [61]\n\nMain article: Horror game\n\nHorror games are games that incorporate elements of horror fiction into their narrative, generally irrespective of the type of gameplay.', 'While they initially started as a type of educational game, they later became more entertainment focused as indie developers explored possibilities within the genre.', 'Most of these types of games target young users from the ages of about three years to mid- teens ;[ citation needed ] past the mid-teens, subjects become so complex (e.g. Calculus ) that teaching via a game is impractical.']",5
