Genre_04_nouns.csv
Unique nouns: 751, Total nouns: 1792
Total time: Uncomputed,Cost per noun: Uncomputed
super,"['â€” Super Mega Comics #123\n\nGenre, as applied to Video Games , customarily describes the style of gameplay rather than that of the story or setting as in other media.', '(ex: Super Metroid , Castlevania: Symphony of the Night )\n\nStealth-Based Game : A game in which the player character must hide and sneak through the level while avoiding notice from much more powerful enemies that the player character cannot take head-on.', '(ex: Super Mario Bros. )\n\nCinematic Platform Game :', '(ex: I Wanna Be the Guy , Super Meat Boy )\n\nPuzzle Platformer : A game that combines parts from Platform Games and Puzzle Games together.', '(ex: Super Smash Bros. )\n\nPlatform Fighter :', '(ex: Super Smash Bros. )\n\nBoss Game :', '(ex: LittleBigPlanet , Super Mario Maker )\n\n.io', '(ex: Super Monkey Ball )\n\nMedical Game :']",8
mega,"['â€” Super Mega Comics #123\n\nGenre, as applied to Video Games , customarily describes the style of gameplay rather than that of the story or setting as in other media.']",1
comics,"['â€” Super Mega Comics #123\n\nGenre, as applied to Video Games , customarily describes the style of gameplay rather than that of the story or setting as in other media.']",1
genre,"['â€” Super Mega Comics #123\n\nGenre, as applied to Video Games , customarily describes the style of gameplay rather than that of the story or setting as in other media.', '\n\nNotable games in each genre can be found on the individual pages.', 'Note that many games can and should be in multiple genres, as the lines can often get blurred, or games can incorporate elements of more than one genre .', 'If you have a new game to add, put it in every genre you think it belongs!', ""A platformer that borrows elements from the Shoot 'em Up genre."", ""(ex: Contra , Metal Slug )\n\nBeat 'em Up : A Sub-genre of Action Game with the player character fighting primarily with punches and kicks against large hordes of relatively weaker enemies."", '(ex: Mystery Case Files )\n\nIdle Game : A genre of game defined by its game play, the primary feature of which is that the easiest way to win is to leave the game running by itself for long periods of time.', 'Also happens to be a genre of anime and manga .', 'A Puzzle Game that is so weird and mind-defying that trying to label it with a genre is a puzzle in and of itself.', 'Either a sub-genre of the Role-playing Game or a genre modifier, depending on who you ask.', ""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference."", 'Sub-genre of a Strategy Game.', '(ex: Skylanders , Disney Infinity )\n\nAnd lastly, Miscellaneous Games : A page that contains games that nobody could identify the genre of.', ""\n\nÂ\xa0Â\xa0Â\xa0Â\xa0Aesthetic game genresÂ\xa0\n\nNon-gameplay genres that can be found in other mediums, related to the game's story, setting, tone, etc."", 'There are several modifiers that can be applied to the genre of a game, as a twist on the standard formula.', 'A scenario in which games within a franchise switch from one Video Game Genre to another in an attempt to continue appealing to fans.', '\n\nUnexpected Gameplay Change : When the genre in a game suddenly changes to a different genre with little warning.', '\n\nAlternative Title(s): Video Game Genre']",21
video,"['â€” Super Mega Comics #123\n\nGenre, as applied to Video Games , customarily describes the style of gameplay rather than that of the story or setting as in other media.', '\n\nAlso see Pinball , the arcade predecessor to Video Games.', 'These are the most common classifications applied to video games, usually pertaining to their style of gameplay.', 'Interactive Movie : A game that is based around video clips, and the player must press buttons at the right time, choose the right sequence of clips, or play other games using the video as a backdrop.', '\n\nCasual Video Game :', '(ex: WWE Video Games )\n\nStrategy Game :', 'Comedy Video Games : A game with heavy focus on humor, that seldom ever takes itself seriously.', '\n\nParody Video Games : A game that spoofs other games.', '\n\nFantasy Video Games : A game that features magic and mythology in a supernatural setting.', '\n\nHorror Video Games : A game that exploits the fears of players to cause anxiety, fear, and ultimately thrills.', '\n\nMilitary and Warfare Video Games : A game that revolves around soldiers or warriors fighting in a military conflict.', '\n\nScience Fiction Video Games : A game that explores a concept that does not exist at the present time, but it someday might.', 'A scenario in which games within a franchise switch from one Video Game Genre to another in an attempt to continue appealing to fans.', '\n\nPop Up Video Games : A game in which clicking on background items results in cute animations.', '\n\n3D : When a video game series goes from having two-dimensional sprites to having three-dimensional polygons.', 'A video game created to advertise a product such as a food or store.', '\n\nLicense-Added Game : A specific type of Licensed Game in which the license is added to a new version of an existing video game franchise.', '\n\nOnline Games : Video games that require an Internet connection for some, most, or all of its features.', '\n\nVideo Game Long Runners : A franchise that has at least six games in its main series and spans ten years.', '\n\nAlternative Title(s): Video Game Genre']",21
games,"['â€” Super Mega Comics #123\n\nGenre, as applied to Video Games , customarily describes the style of gameplay rather than that of the story or setting as in other media.', '\n\nIt is also possible to move from one gameplay style to another within the same game, e.g. Mini Games , vehicle sequences within action games, etc.', '\n\nAlso see Pinball , the arcade predecessor to Video Games.', 'Action-Adventure : A game that combines parts from Action Games and Adventure Games together.', '(ex: The Legend of Zelda , God of War )\n\nMetroidvania : A game that combines parts from Action-Adventure Games and Platform Games together.', '(ex: I Wanna Be the Guy , Super Meat Boy )\n\nPuzzle Platformer : A game that combines parts from Platform Games and Puzzle Games together.', 'Mostly consists of Web Games with many having a mobile app version as well.', 'Role-Playing Game (RPG) â€” see also Tabletop Games (Tabletop RPG): A game in which the player controls a character or party of characters in a statistically abstracted way.', 'Action RPG : A game that combines parts from Role Playing Games and Action Adventure Games together.', '(ex: Creatures , Flight Rising )\n\nConstruction and Management Games : This type of game focuses on elements like gathering and management of resources, construction, expansion, research and exploration.', '(ex: WWE Video Games )\n\nStrategy Game :', '(ex: Skylanders , Disney Infinity )\n\nAnd lastly, Miscellaneous Games : A page that contains games that nobody could identify the genre of.', 'Comedy Video Games : A game with heavy focus on humor, that seldom ever takes itself seriously.', '\n\nParody Video Games : A game that spoofs other games.', '\n\nFantasy Video Games : A game that features magic and mythology in a supernatural setting.', '\n\nHorror Video Games : A game that exploits the fears of players to cause anxiety, fear, and ultimately thrills.', '\n\nMilitary and Warfare Video Games : A game that revolves around soldiers or warriors fighting in a military conflict.', 'Retraux Games : Games using intentionally outdated graphics for a nostalgic effect.', '\n\nScience Fiction Video Games : A game that explores a concept that does not exist at the present time, but it someday might.', '\n\nPop Up Video Games : A game in which clicking on background items results in cute animations.', '\n\nFreeware Games : A game that can be downloaded and distributed legally for free.', '\n\nOnline Games : Video games that require an Internet connection for some, most, or all of its features.', 'Web Games : An online game is that is played on a website via your web browser.']",27
style,"['â€” Super Mega Comics #123\n\nGenre, as applied to Video Games , customarily describes the style of gameplay rather than that of the story or setting as in other media.', '\n\nIt is also possible to move from one gameplay style to another within the same game, e.g. Mini Games , vehicle sequences within action games, etc.', 'These are the most common classifications applied to video games, usually pertaining to their style of gameplay.']",3
gameplay,"['â€” Super Mega Comics #123\n\nGenre, as applied to Video Games , customarily describes the style of gameplay rather than that of the story or setting as in other media.', '\n\nIt is also possible to move from one gameplay style to another within the same game, e.g. Mini Games , vehicle sequences within action games, etc.', 'These gameplay changes can sometimes be unnecessary or unwanted , especially if the game transitions between them jarringly with poor integration between them.', 'These are the most common classifications applied to video games, usually pertaining to their style of gameplay.', 'Leaping and climbing between platforms of varying heights and over or onto enemy characters forms a large part of the gameplay.', '(ex: Devil May Cry )\n\nShooter : A game in which the gameplay revolves around shooting with guns and other ranged weapons.', '(ex: The Walking Dead )\n\nEnvironmental Narrative Game : A story-driven adventure game which emphasizes narrative and exploring a physical location, with very little in the way of interactivity or gameplay challenge.', '(ex: Mystery of Time and Space )\n\nVisual Novel : An Adventure Game that focuses more on character interactivity than world interactivity, with dialogue choices being the primary gameplay component.', 'Immersive Sim : A game that simulates a consistent lived-in world, facilitates Emergent Gameplay , and rewards creative problem solving.', 'A game that deconstructs a common gameplay element or plot device.', '\n\nÂ\xa0Â\xa0Â\xa0Â\xa0Gameplay modifiersÂ', '\n\nGameplay Roulette :', '\n\nUnexpected Gameplay Change : When the genre in a game suddenly changes to a different genre with little warning.']",13
story,"['â€” Super Mega Comics #123\n\nGenre, as applied to Video Games , customarily describes the style of gameplay rather than that of the story or setting as in other media.', '(ex: The Walking Dead )\n\nEnvironmental Narrative Game : A story-driven adventure game which emphasizes narrative and exploring a physical location, with very little in the way of interactivity or gameplay challenge.', 'Also known by other labels including ""walking simulator"", ""story exploration game"", ""first-person adventure"" and ""interactive stories"".', ""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference."", ""\n\nÂ\xa0Â\xa0Â\xa0Â\xa0Aesthetic game genresÂ\xa0\n\nNon-gameplay genres that can be found in other mediums, related to the game's story, setting, tone, etc.""]",6
medium,"['â€” Super Mega Comics #123\n\nGenre, as applied to Video Games , customarily describes the style of gameplay rather than that of the story or setting as in other media.', ""\n\nÂ\xa0Â\xa0Â\xa0Â\xa0Aesthetic game genresÂ\xa0\n\nNon-gameplay genres that can be found in other mediums, related to the game's story, setting, tone, etc.""]",2
