Genre_03_nouns.csv
Unique nouns: 113, Total nouns: 189
Total time: Uncomputed,Cost per noun: Uncomputed
shutterstock,"[""Shutterstock /  Iryna Tiumentseva\n\nToday's computer games are loaded with action, and there are many different categories or genres of games.""]",1
iryna,"[""Shutterstock /  Iryna Tiumentseva\n\nToday's computer games are loaded with action, and there are many different categories or genres of games.""]",1
tiumentseva,"[""Shutterstock /  Iryna Tiumentseva\n\nToday's computer games are loaded with action, and there are many different categories or genres of games.""]",1
today,"[""Shutterstock /  Iryna Tiumentseva\n\nToday's computer games are loaded with action, and there are many different categories or genres of games.""]",1
computer,"[""Shutterstock /  Iryna Tiumentseva\n\nToday's computer games are loaded with action, and there are many different categories or genres of games."", 'Here is some information that will help you to better understand the various computer game genres.']",2
game,"[""Shutterstock /  Iryna Tiumentseva\n\nToday's computer games are loaded with action, and there are many different categories or genres of games."", 'But, many games can be considered to be more than one genre.', 'For instance, a soccer game could be considered a sports game, as well as a simulation game.', 'Here is some information that will help you to better understand the various computer game genres.', 'Massively Multiplayer Online (MMO)\n\nThese games are played over a LAN (local area network) or via the Internet.', 'Players use a network and interact with other players in the virtual game room.', 'The creation of these games involves thousands of hours of programming, giving you, the player, the most amazing gaming experience possible.', 'Simulations\n\nThese games involve taking control of real-world vehicles, including tanks, ships, and aircraft.', 'You learn how to control these vehicles, and use simulation games that can also be used to train professionals.', 'These are usually single player games, and are often set in fantasy or adventure worlds.', 'The game generally starts with a back story of your character, and let you know what your mission is.', 'For these games, you usually need to build up your inventory of items, armies, etc.', 'Similar to a strategy game, RTS games move in real-time, and players can play at once without taking turns so you can play together at the same time.', 'These games appeal to those who love to solve difficult puzzles .', 'There are many levels, from beginner to expert, and games usually have coloured shapes and simple actions.', 'These are brain games, with no action involved.', 'You need to be fast to enjoy these fast-paced games, and you need to have excellent reflexes.', 'These tend to be war games or spy-based games, where you use stealth to defeat your enemies.', 'You are the protagonist, and the game is viewed through your eyes .', 'You can really get into these games.', 'The only downfall is that you are not able to see how you look in the game, because you are seeing things through your own eyes.', 'As you work up through the various skill levels, your game will involve mimicking real professional athletes and how they move.', 'The most popular sports games are usually based around specific popular sporting events.', 'Role-Playing (RPG)\n\nIf you love fantasy, you will love role-playing games.', ""You get to act out the part of the main character, be the hero, etc., and make decisions that go along with the games' story lines."", 'Many of these games have narrative guides.', 'Educational\n\nWhile many parents and teachers complain about video games, there are some great educational games out there that can help with the learning process.', 'Train in a variety of subjects, using games to make learning fun instead of boring.', 'The most common types of education games are for math, science, and ICT.']",35
action,"[""Shutterstock /  Iryna Tiumentseva\n\nToday's computer games are loaded with action, and there are many different categories or genres of games."", 'There are many levels, from beginner to expert, and games usually have coloured shapes and simple actions.', 'These are brain games, with no action involved.', 'Action', 'Complete challenges by fighting with enemies, and use a character of your choice to represent yourself and jump into the action.']",5
category,"[""Shutterstock /  Iryna Tiumentseva\n\nToday's computer games are loaded with action, and there are many different categories or genres of games.""]",1
genre,"[""Shutterstock /  Iryna Tiumentseva\n\nToday's computer games are loaded with action, and there are many different categories or genres of games."", 'But, many games can be considered to be more than one genre.', 'Here is some information that will help you to better understand the various computer game genres.']",3
instance,"['For instance, a soccer game could be considered a sports game, as well as a simulation game.']",1
soccer,"['For instance, a soccer game could be considered a sports game, as well as a simulation game.', 'Sports\n\nPlay real-world sports like baseball, basketball, soccer, and more.']",2
sport,"['For instance, a soccer game could be considered a sports game, as well as a simulation game.', 'Sports\n\nPlay real-world sports like baseball, basketball, soccer, and more.', 'The most popular sports games are usually based around specific popular sporting events.']",4
simulation,"['For instance, a soccer game could be considered a sports game, as well as a simulation game.', 'Simulations\n\nThese games involve taking control of real-world vehicles, including tanks, ships, and aircraft.', 'You learn how to control these vehicles, and use simulation games that can also be used to train professionals.']",3
information,['Here is some information that will help you to better understand the various computer game genres.'],1
