VideoGameGenres_01_nouns.csv
Unique nouns: 721, Total nouns: 1477
Total time: Uncomputed,Cost per noun: Uncomputed
technologist,['We met five technologists working at the Riot Games Nexus.'],1
riot,['We met five technologists working at the Riot Games Nexus.'],1
games,"['We met five technologists working at the Riot Games Nexus.', 'Gaming PCs have their own dedicated RAM space, GPUs and cooling systems that help to efficiently run games in real-time.', 'Games like Fortnite, League of Legends and Minecraft have made gaming one of the most popular forms of entertainment in the world today.', 'You scroll through a library of games, choose which game you want and automatically start playing the game.', ""It's easily accessible and has games for every type of gamer."", 'Game QA testers push the work of designers, programmers and animators to the limits to ensure that games are free of bugs and allow for gamers to have the freedom to explore in these virtual environments.', 'Video game testers are in demand right now (especially in mobile gaming) due to the rapid increase of games being produced.']",7
nexus,['We met five technologists working at the Riot Games Nexus.'],1
we,"['We met five technologists working at the Riot Games Nexus.', 'Not only do we have the continuous advent of new consoles, PCs and devices that are putting us right into the game, but we also have the opportunity to watch some of the best gamers in the world compete in the e-sports arena and online through streaming platforms like Twitch and Mixer.', 'Still in its infancy, quantum computing has the ability to completely upend the gaming industry (and world) as we know it.', '\n\nVR is changing the way we experience video games.', 'Instead of having to strap on a headset or pop a disc into a console, mobile gaming allows us to play wherever we go and whenever we want.']",7
five technologists,['We met five technologists working at the Riot Games Nexus.'],1
the riot games nexus,['We met five technologists working at the Riot Games Nexus.'],1
what,"[""Here's what they're up to."", 'Read Article\n\nSee More Stories\n\nWhat is Gaming?', ""\n\nNobody could imagine what the gaming industry would blossom into when they were messing around with Pong joysticks in their basements and competing against their friends for the highest Pac-Man scores in the 1970s and '80s."", ""What makes gaming so special is that it's not only immersive and entertaining, but it's inclusive and expansive as well."", 'Testers usually run through what is called matrix testing, where they have to test every permutation and combination of events that could possibly happen in a game to ensure that nothing can break it.']",5
they,"[""Here's what they're up to."", ""\n\nNobody could imagine what the gaming industry would blossom into when they were messing around with Pong joysticks in their basements and competing against their friends for the highest Pac-Man scores in the 1970s and '80s."", ""E-sports athletes are essentially the Lebron James's of their profession, but instead of dunking on opponents on a court, they're outwitting, outmaneuvering and outplaying their opponents in virtual worlds."", ""Because quantum computers have unfathomable amounts of power and information storage, they're able to render the best graphics imaginable in real time."", 'Who wants to play a game where they know exactly what happens?', ""Rather, they're more focused on competing with the ultra-fast cloud platforms being built by Google and Amazon."", ""Instead of playing from a third person point-of-view, VR drops people into computer-generated environments to make them feel like they're actually part of the game."", ""They're the people who bring a designer's work to life through a code."", 'A good video game would be nothing without the hard work of a programmer, who ensures that characters, missions and environments are supposed to interact the way they were intended.', 'Testers usually run through what is called matrix testing, where they have to test every permutation and combination of events that could possibly happen in a game to ensure that nothing can break it.']",10
read,['Read Article\n\nSee More Stories\n\nWhat is Gaming?'],1
article,['Read Article\n\nSee More Stories\n\nWhat is Gaming?'],1
story,"['Read Article\n\nSee More Stories\n\nWhat is Gaming?', 'Game animators combine technology and art to create the interactive images and sequences that help tell the story of the game.', 'Animators start every project with a basic storyboard, then help bring that story to life through a series of intricate animations.', 'More Stories']",4
gaming,"['Read Article\n\nSee More Stories\n\nWhat is Gaming?', '\n\nThe gaming industry is considered to be one of the most exciting industries in tech because of its importance to culture, entertainment and technological advancement.', 'PC, console and mobile gaming companies are using the latest in tech to bring their games to the screens of more than two billion people all over the globe.', '\n\nGaming Industry Overview\n\nPopular Gaming Jobs\n\nGaming Industry Overview\n\nGaming is pushing the boundaries of entertainment by providing a totally immersive experience across anything that has a screen.', '\n\nGaming Industry Overview\n\nThe gaming industry is arguably one of the most important and innovative sectors in tech today.', 'The term ""entertainment industry"" is no longer reserved for Hollywood and the movie industry because gaming is now providing one of the most immersive and awe-inspiring forms of entertainment to more than two billion people around the globe.', ""\n\nNobody could imagine what the gaming industry would blossom into when they were messing around with Pong joysticks in their basements and competing against their friends for the highest Pac-Man scores in the 1970s and '80s."", ""These simple games would turn out to be the bedrock of today's gaming industry and instant cultural phenomena."", 'The gaming industry of today is a $200 billion behemoth that is constantly pushing the boundaries of technology and entertainment.', '\n\nThe gaming wars of today are just heating up.', 'The battle over console gaming is being waged by Microsoft (Xbox), Sony (Playstation) and Nintendo, with Google acting as a new competitor with their cloud-based gaming platform, Stadia .', ""Traditional console makers, like Microsoft, will start to compete with Stadia and Amazon's super-secret cloud gaming platform to make their games available to those anywhere with any decent internet connection."", 'Additionally, PC gaming has opened up a world of opportunities for gamers who are looking for extra ease-of-use and dexterity when casually playing (or competing) their favorite games.', '\n\nTop Gaming Companies Hiring Now\n\nThese gaming companies have plenty of open jobs available right now.', '\n\nStreaming has also been a massive success for the gaming industry and gamers alike.', 'Platforms, like Twitch and Youtube Gaming give individual gamers the opportunity to livestream their in-game play to subscribers all over the world.', 'This invention has allowed millions of streamers to gain a fanbase, interact with one another and monetize their gaming skills.', 'Streaming has become uber-popular to the point where the top four platforms (Twitch, Youtube Gaming, Mixer and Facebook Gaming) garnered a combined 13 billion hours watched in 2019.', 'The meteoric rise of the gaming industry is just getting started.', ""Born from humble beginnings, today's gaming sector is ready to take on any other in tech for the title of the most innovative industry."", ""What makes gaming so special is that it's not only immersive and entertaining, but it's inclusive and expansive as well."", 'There is a game and a way to play for almost every human, which makes gaming one of the most beloved industries in the world.', '\n\nGaming Equipment + Technology\n\nAdvances in technology have made it possible to game from pretty much everywhere- including your phone- which is becoming one of the most popular forms of entertainment on the planet.', '\n\nGaming Equipment + Technology\n\nConsole Gaming\n\nConsole gaming is the original (and probably most well-known) form of digital gaming.', 'Today, Xbox and Playstation have become the two most popular consoles, offering millions of players the ability to experience the latest in gaming technology.', 'Gaming consoles are truly pushing the limits of consumer entertainment technology.', '\n\nPC Gaming', 'PCs have had a meteoric rise in gameplay with more than 1.2 billion people using computers as their gaming tool of choice.', 'Gaming computers are all about efficiency.', 'Gaming PCs have their own dedicated RAM space, GPUs and cooling systems that help to efficiently run games in real-time.', 'These bulked-up computers can handle graphically demanding games and can even make it easier for streamers who need a reliable system to manage gaming at a high level and livestreaming their gameplay at the same time.', 'Games like Fortnite, League of Legends and Minecraft have made gaming one of the most popular forms of entertainment in the world today.', '\n\nQuantum computing is a sector to look out for when it comes to gaming.', 'Still in its infancy, quantum computing has the ability to completely upend the gaming industry (and world) as we know it.', 'These computers dwarf anything that computers can do now, and this technology is primed to make an impact in the gaming industry.', 'These computers also fix a huge problem currently plaguing the gaming industry; predictability.', ""A quantum computer's massive storage of algorithms could actually make gaming unpredictable and unique for each gamer."", '\n\nCloud Gaming\n\nCloud gaming is the newest type of video game technology making headlines.', 'Imagine Netflix, but for gaming.', 'Cloud-based gaming platforms, like Google Stadia, are making the whole gaming experience seamless and easy to play from anywhere at any time.', ""Cloud gaming is such a threat to traditional console gaming that Microsoft's head of gaming, Phil Spencer, said that Xbox is no longer concerned about competition from Nintendo or Playstation."", '\n\nÂ\xa0\n\nVR/AR Gaming\n\nVirtual reality (VR) and augmented reality (AR) are meant to put you right in the middle of the action.', 'The best example of AR in gaming is "" Pokemon Go .""', '\n\nMobile Gaming\n\nMobile gaming makes up about 45% of the total market share of the gaming industry with almost one-third of the entire global population having played a gaming app in 2019.', 'Why is mobile gaming so popular?', 'Instead of having to strap on a headset or pop a disc into a console, mobile gaming allows us to play wherever we go and whenever we want.', 'The mobile gaming industry is poised for continual growth as investments in mobile gaming startups have skyrocketed, and creativity opens up avenues for more gamers to enjoy different types of exciting games.', '\n\nPopular Gaming Jobs\n\nThe rise in popularity of video games has made gaming an in-demand industry for everyone from designers to computer programmers.', ""\n\nPopular Gaming Jobs\n\nVideo Game Designer\n\nThat incredibly intricate, expansive and beautifully-designed game you're playing didn't just appear out of thin air."", 'The job outlook for game design looks really steady because of the enormous rise in console, PC and mobile gaming.', '\n\nVideo Game Programmer\n\nVideo game programmers are some of the most sought-after individuals in the gaming industry.', ""Gaming's popularity has caused a boom in industry hiring for programmers and it's not projected to slow down."", 'However, these testers need to have an eye for details, a tolerance for repetition and an intense passion for the gaming industry.', 'Video game testers are in demand right now (especially in mobile gaming) due to the rapid increase of games being produced.']",86
read article,['Read Article\n\nSee More Stories\n\nWhat is Gaming?'],1
more stories,"['Read Article\n\nSee More Stories\n\nWhat is Gaming?', 'More Stories']",2
industry,"['\n\nThe gaming industry is considered to be one of the most exciting industries in tech because of its importance to culture, entertainment and technological advancement.', '\n\nGaming Industry Overview\n\nPopular Gaming Jobs\n\nGaming Industry Overview\n\nGaming is pushing the boundaries of entertainment by providing a totally immersive experience across anything that has a screen.', '\n\nGaming Industry Overview\n\nThe gaming industry is arguably one of the most important and innovative sectors in tech today.', 'The term ""entertainment industry"" is no longer reserved for Hollywood and the movie industry because gaming is now providing one of the most immersive and awe-inspiring forms of entertainment to more than two billion people around the globe.', ""\n\nNobody could imagine what the gaming industry would blossom into when they were messing around with Pong joysticks in their basements and competing against their friends for the highest Pac-Man scores in the 1970s and '80s."", ""These simple games would turn out to be the bedrock of today's gaming industry and instant cultural phenomena."", 'The gaming industry of today is a $200 billion behemoth that is constantly pushing the boundaries of technology and entertainment.', '\n\nStreaming has also been a massive success for the gaming industry and gamers alike.', 'Breakout successes in the streaming industry, like Tyler ""Ninja"" Blevins, have been able to make upwards of $10 million a year just through the fans and endorsement deals that come with running a popular streaming profile.', 'The meteoric rise of the gaming industry is just getting started.', ""Born from humble beginnings, today's gaming sector is ready to take on any other in tech for the title of the most innovative industry."", 'There is a game and a way to play for almost every human, which makes gaming one of the most beloved industries in the world.', 'Still in its infancy, quantum computing has the ability to completely upend the gaming industry (and world) as we know it.', 'These computers dwarf anything that computers can do now, and this technology is primed to make an impact in the gaming industry.', 'These computers also fix a huge problem currently plaguing the gaming industry; predictability.', '\n\nMobile Gaming\n\nMobile gaming makes up about 45% of the total market share of the gaming industry with almost one-third of the entire global population having played a gaming app in 2019.', 'The mobile gaming industry is poised for continual growth as investments in mobile gaming startups have skyrocketed, and creativity opens up avenues for more gamers to enjoy different types of exciting games.', '\n\nPopular Gaming Jobs\n\nThe rise in popularity of video games has made gaming an in-demand industry for everyone from designers to computer programmers.', '\n\nVideo Game Programmer\n\nVideo game programmers are some of the most sought-after individuals in the gaming industry.', ""Gaming's popularity has caused a boom in industry hiring for programmers and it's not projected to slow down."", 'However, these testers need to have an eye for details, a tolerance for repetition and an intense passion for the gaming industry.']",25
tech,"['\n\nThe gaming industry is considered to be one of the most exciting industries in tech because of its importance to culture, entertainment and technological advancement.', 'PC, console and mobile gaming companies are using the latest in tech to bring their games to the screens of more than two billion people all over the globe.', '\n\nGaming Industry Overview\n\nThe gaming industry is arguably one of the most important and innovative sectors in tech today.', ""Born from humble beginnings, today's gaming sector is ready to take on any other in tech for the title of the most innovative industry."", 'Consoles have been a good indicator of the tech market as a whole.']",9
importance,"['\n\nThe gaming industry is considered to be one of the most exciting industries in tech because of its importance to culture, entertainment and technological advancement.', 'Its importance to culture, social networking and entertainment cannot be understated.']",2
