Genres_08_nouns.csv
Unique nouns: 142, Total nouns: 312
Total time: Uncomputed,Cost per noun: Uncomputed
sep,"['Sep 25, 2018 Â· 4 min read\n\nThe multi-billion dollar video game industry is booming: it is growing at several times the rate of the overall economy.']",1
â,"['Sep 25, 2018 Â· 4 min read\n\nThe multi-billion dollar video game industry is booming: it is growing at several times the rate of the overall economy.']",1
min,"['Sep 25, 2018 Â· 4 min read\n\nThe multi-billion dollar video game industry is booming: it is growing at several times the rate of the overall economy.']",1
dollar,"['Sep 25, 2018 Â· 4 min read\n\nThe multi-billion dollar video game industry is booming: it is growing at several times the rate of the overall economy.']",1
video,"['Sep 25, 2018 Â· 4 min read\n\nThe multi-billion dollar video game industry is booming: it is growing at several times the rate of the overall economy.', 'Conclusion\n\nAs the video game industry continues to grow rapidly and globally, these game genres will continue to evolve.']",2
game,"['Sep 25, 2018 Â· 4 min read\n\nThe multi-billion dollar video game industry is booming: it is growing at several times the rate of the overall economy.', 'The industry generates revenues from gaming content, in-game purchases, and hardware and accessories for better gameplay.', 'Games are played on computers, mobile devices, and dedicated gaming consoles.', '\n\nGames can be organized by gameplay characteristics, objective type, and subject type (for example, sports, action, or racing).', '\n\nFPS: First Person Shooter\n\nAction games are currently the most popular genre of games, and FPS games form the most popular sub-genre within action games.', 'FPS games feature three dimensional environments and are centered around weapon-based combat in the first-person perspective (so that the player sees the environment as the character would see it).', '\n\nA first person shooter game.', '\n\nTPS or Third Person Shooters are similar to FPS games, except that the player views the character they are controlling from behind.', ""In RTS games, players maneuver units under their control to defeat their opponents' assets and secure key areas on a map."", 'In most environments, it is possible to create more population units and to build civilian and military structures within the game.', 'For example, controlling a gold mine within a game allows a player to fund the construction of buildings and the creation (or training) of new population units, which are in turn helpful in future missions.', 'The tasks a player must perform to succeed in an RTS game usually grow in complexity as the levels progress.', 'AD is a real time strategy game.', '\n\nMOBA: Multiplayer Online Battle Arena\n\nIn MOBA games, the player controls a single character in a team, which competes with other teams in an environment.', 'In most MOBA games, each player assumes a specific role on the team.', 'Vain Glory is a multiplayer online battle arena game.', '\n\nMOBA games are a fusion of action games, role playing games and real time strategy games.', '\n\nRPG: Role Playing Game\n\nIn RPGs, a player controls the actions of a character in a well-defined fantasy or science fiction universe.', '\n\nFinal Fantasy is a role playing game.', '\n\nMMO: Massively Multiplayer Online\n\nMMO games usually feature enormous persistent open worlds and have thousands of users playing on the same server.', 'These games require network-capable platforms such as smart phones, computers, and internet-connected game consoles.', ""The player assumes the role of a character and can collaborate or compete with other players in the game's persistent world."", 'The world continues to exist and evolve while the player is offline or away from the game.', 'Conclusion\n\nAs the video game industry continues to grow rapidly and globally, these game genres will continue to evolve.']",32
industry,"['Sep 25, 2018 Â· 4 min read\n\nThe multi-billion dollar video game industry is booming: it is growing at several times the rate of the overall economy.', 'The industry generates revenues from gaming content, in-game purchases, and hardware and accessories for better gameplay.', ""\n\nThis post seeks to provide non-gamers with an overview of the industry's most commonly used abbreviations: FPS, RTS, MOBA, RPG, MMO, and MMORPG (among others)."", 'Conclusion\n\nAs the video game industry continues to grow rapidly and globally, these game genres will continue to evolve.']",4
time,"['Sep 25, 2018 Â· 4 min read\n\nThe multi-billion dollar video game industry is booming: it is growing at several times the rate of the overall economy.', '\n\nRTS: Real Time Strategy', 'AD is a real time strategy game.', '\n\nMOBA games are a fusion of action games, role playing games and real time strategy games.', ""MOBA is often referred to as 'A-RTS' or action real-time strategy, though 'strategy' in this case refers to how a team collaborates and plays the map to succeed.""]",5
rate,"['Sep 25, 2018 Â· 4 min read\n\nThe multi-billion dollar video game industry is booming: it is growing at several times the rate of the overall economy.']",1
economy,"['Sep 25, 2018 Â· 4 min read\n\nThe multi-billion dollar video game industry is booming: it is growing at several times the rate of the overall economy.']",1
