game type,"['Game Type and Game Genre', 'By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.', 'When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.', 'The following is brief list of game types:', 'Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.']",5,2.5
game genre,"['Game Type and Game Genre', 'By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.', 'When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.', 'The following is a list of game genres.', 'Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.']",5,2.5
lindsay grace game type,"['By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.']",1,0.5
the industry,"['By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.']",1,0.5
a distinct difference,"['By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.']",1,0.5,hello
video game,"['By Lindsay Grace Game Type Although sometimes used interchangeably in the industry, there is a distinct difference between game type and game genre in video games.']",1,0.5
game story,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']",1,0.5
we,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']",1,0.5
a description,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']",2,1.0,hello
game play,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.', 'Characters tend to be rich, game play is long, and character management is technical in RPGs.']",2,1.0
the narrative content,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']",1,0.5
the game,"['When discussing game story, we distinguish game type as a description of game play, and game genre as a description of the narrative content of the game.']",1,0.5
brief list,['The following is brief list of game types:'],1,0.5
action,['Action: Games that offer intensity of action as the primary attraction.'],2,1.0, 
game,"['Action: Games that offer intensity of action as the primary attraction.', 'Games that offer exploration and puzzle solving as the main attraction.', 'Puzzle: Games that offer puzzles as the primary attraction to games.', ""Lindsay Grace Role Playing: Games that offer the player an opportunity to immerse themselves in the player character's situation."", 'Games such as Command and Conquer are examples of story based strategy games.', 'This is also true of spaceship simulations or games that simulate the experience of piloting, organizing, or being an object that may have no real world equivalent.']",7,3.5
intensity,['Action: Games that offer intensity of action as the primary attraction.'],1,0.5
the primary attraction,"['Action: Games that offer intensity of action as the primary attraction.', 'Puzzle: Games that offer puzzles as the primary attraction to games.']",2,1.0
reflex response,['Reflex response is the primary skill needed to play these games well.'],1,0.5
the primary skill,['Reflex response is the primary skill needed to play these games well.'],1,0.5
these game,"['Reflex response is the primary skill needed to play these games well.', 'These games historically offered the most engrossing story, although their popularity has declined in the last 2 decades.', 'These games are most commonly released on low budgets via the web.', 'The people who play these games tend be the oldest population of the game playing community.']",4,2.0
the most common action game,['The most common action games are shooters (Doom) and stealth (Metal Gear).'],1,0.5
shooter,['The most common action games are shooters (Doom) and stealth (Metal Gear).'],1,0.5
doom,['The most common action games are shooters (Doom) and stealth (Metal Gear).'],1,0.5, 
stealth,['The most common action games are shooters (Doom) and stealth (Metal Gear).'],1,0.5
metal gear,['The most common action games are shooters (Doom) and stealth (Metal Gear).'],1,0.5
action game,"['Action games also include most sports titles, although some sports titles fall into the category of simulation.']",1,0.5, 
most sport title,"['Action games also include most sports titles, although some sports titles fall into the category of simulation.']",1,0.5
some sport title,"['Action games also include most sports titles, although some sports titles fall into the category of simulation.']",1,0.5
the category,"['Action games also include most sports titles, although some sports titles fall into the category of simulation.']",1,0.5
simulation,"['Action games also include most sports titles, although some sports titles fall into the category of simulation.', 'Simulation: The primary game play element of a simulation is its ability to match real world situations.', 'Simulations seek to provide enjoyment through reenactment.', 'Simulations may also include social situation simulation such as Sims and Leisure Suit Larry1.']",4,2.0
adventure,['Adventure:'],1,0.5, 
exploration,['Games that offer exploration and puzzle solving as the main attraction.'],1,0.5
puzzle,"['Games that offer exploration and puzzle solving as the main attraction.', 'Puzzle: Games that offer puzzles as the primary attraction to games.']",3,1.5
the main attraction,['Games that offer exploration and puzzle solving as the main attraction.'],1,0.5
the most engrossing story,"['These games historically offered the most engrossing story, although their popularity has declined in the last 2 decades.']",1,0.5
their popularity,"['These games historically offered the most engrossing story, although their popularity has declined in the last 2 decades.']",1,0.5
the last 2 decade,"['These games historically offered the most engrossing story, although their popularity has declined in the last 2 decades.']",1,0.5
reasoning,"['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.', 'Strategy games entertain through reasoning and problem solving.']",2,1.0
creativity,"['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.']",1,0.5, 
curiosity,"['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.']",1,0.5, 
the most common skill,"['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.']",1,0.5
a good adventure game player,"['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.']",1,0.5, 
pioneer adventure game,['Pioneer adventure games include Myst and Syberia.'],1,0.5
myst,['Pioneer adventure games include Myst and Syberia.'],1,0.5
syberia,['Pioneer adventure games include Myst and Syberia.'],1,0.5
low budget,['These games are most commonly released on low budgets via the web.'],1,0.5
the web,['These games are most commonly released on low budgets via the web.'],1,0.5
the people,['The people who play these games tend be the oldest population of the game playing community.'],1,0.5
who,['The people who play these games tend be the oldest population of the game playing community.'],1,0.5
the old population,['The people who play these games tend be the oldest population of the game playing community.'],1,0.5
the game play community,['The people who play these games tend be the oldest population of the game playing community.'],1,0.5
the most successful puzzle game,"['One of the most successful puzzle games is the famed Tetris, Lemmings and Minesweeper.']",1,0.5
the famed tetris,"['One of the most successful puzzle games is the famed Tetris, Lemmings and Minesweeper.']",1,0.5
lemming,"['One of the most successful puzzle games is the famed Tetris, Lemmings and Minesweeper.']",1,0.5
intelligent cube,['Intelligent Cube was another interesting puzzle game of limited success.'],1,0.5
another interesting puzzle game,['Intelligent Cube was another interesting puzzle game of limited success.'],1,0.5, 
limited success,['Intelligent Cube was another interesting puzzle game of limited success.'],1,0.5
grace role playing,"[""Lindsay Grace Role Playing: Games that offer the player an opportunity to immerse themselves in the player character's situation.""]",1,0.5
the player,"[""Lindsay Grace Role Playing: Games that offer the player an opportunity to immerse themselves in the player character's situation.""]",1,0.5
an opportunity,"[""Lindsay Grace Role Playing: Games that offer the player an opportunity to immerse themselves in the player character's situation.""]",1,0.5, 
themselves,"[""Lindsay Grace Role Playing: Games that offer the player an opportunity to immerse themselves in the player character's situation.""]",1,0.5
the player character's situation,"[""Lindsay Grace Role Playing: Games that offer the player an opportunity to immerse themselves in the player character's situation.""]",1,0.5
role playing game,['Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.'],1,0.5
rpg,['Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.'],1,0.5
their rich history,['Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.'],1,0.5
innovative way,['Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.'],1,0.5
story,['Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.'],1,0.5
character,"['Characters tend to be rich, game play is long, and character management is technical in RPGs.', 'A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",2,1.0
character management,"['Characters tend to be rich, game play is long, and character management is technical in RPGs.']",1,0.5
